DATE,TIME,DATE.TIME,PLACE,PM2.5,DateTime
12/10/2015,8:35:00,12/10/2015 8:35,B801,45.8,2015-12-10 08:35:00
12/10/2015,8:40:00,12/10/2015 8:40,B801,46.4,2015-12-10 08:40:00
12/10/2015,8:45:00,12/10/2015 8:45,B801,45.6,2015-12-10 08:45:00
12/10/2015,8:50:00,12/10/2015 8:50,B801,46.5,2015-12-10 08:50:00
12/10/2015,8:55:00,12/10/2015 8:55,B801,46.1,2015-12-10 08:55:00
12/10/2015,9:00:00,12/10/2015 9:00,B801,46.4,2015-12-10 09:00:00
12/10/2015,9:05:00,12/10/2015 9:05,B801,45.7,2015-12-10 09:05:00
12/10/2015,9:10:00,12/10/2015 9:10,B801,46.7,2015-12-10 09:10:00
12/10/2015,9:15:00,12/10/2015 9:15,B801,46.9,2015-12-10 09:15:00
12/10/2015,9:20:00,12/10/2015 9:20,B801,47.2,2015-12-10 09:20:00
12/10/2015,9:25:00,12/10/2015 9:25,B801,46.7,2015-12-10 09:25:00
12/10/2015,9:30:00,12/10/2015 9:30,B801,47,2015-12-10 09:30:00
12/10/2015,9:35:00,12/10/2015 9:35,B801,47.1,2015-12-10 09:35:00
12/10/2015,9:40:00,12/10/2015 9:40,B801,47,2015-12-10 09:40:00
12/10/2015,9:45:00,12/10/2015 9:45,B801,47.9,2015-12-10 09:45:00
12/10/2015,9:50:00,12/10/2015 9:50,B801,48.3,2015-12-10 09:50:00
12/10/2015,9:55:00,12/10/2015 9:55,B801,47.1,2015-12-10 09:55:00
12/10/2015,10:00:00,12/10/2015 10:00,B801,47.1,2015-12-10 10:00:00
12/10/2015,10:05:00,12/10/2015 10:05,B801,46.6,2015-12-10 10:05:00
12/10/2015,10:10:00,12/10/2015 10:10,B801,48,2015-12-10 10:10:00
12/10/2015,10:15:00,12/10/2015 10:15,B801,48.1,2015-12-10 10:15:00
12/10/2015,10:20:00,12/10/2015 10:20,B801,46.6,2015-12-10 10:20:00
12/10/2015,10:25:00,12/10/2015 10:25,B801,48,2015-12-10 10:25:00
12/10/2015,10:30:00,12/10/2015 10:30,B801,47.5,2015-12-10 10:30:00
12/10/2015,10:35:00,12/10/2015 10:35,B801,48.7,2015-12-10 10:35:00
12/10/2015,10:40:00,12/10/2015 10:40,B801,46.9,2015-12-10 10:40:00
12/10/2015,10:45:00,12/10/2015 10:45,B801,48.9,2015-12-10 10:45:00
12/10/2015,10:50:00,12/10/2015 10:50,B801,49.6,2015-12-10 10:50:00
12/10/2015,10:55:00,12/10/2015 10:55,B801,48,2015-12-10 10:55:00
12/10/2015,11:00:00,12/10/2015 11:00,B801,47.9,2015-12-10 11:00:00
12/10/2015,11:05:00,12/10/2015 11:05,B801,47.4,2015-12-10 11:05:00
12/10/2015,11:10:00,12/10/2015 11:10,B801,46.8,2015-12-10 11:10:00
12/10/2015,11:15:00,12/10/2015 11:15,B801,47.7,2015-12-10 11:15:00
12/10/2015,11:20:00,12/10/2015 11:20,B801,46.4,2015-12-10 11:20:00
12/10/2015,11:25:00,12/10/2015 11:25,B801,47.6,2015-12-10 11:25:00
12/10/2015,11:30:00,12/10/2015 11:30,B801,45.2,2015-12-10 11:30:00
12/10/2015,11:35:00,12/10/2015 11:35,B801,47.5,2015-12-10 11:35:00
12/10/2015,11:40:00,12/10/2015 11:40,B801,48.5,2015-12-10 11:40:00
12/10/2015,11:45:00,12/10/2015 11:45,B801,46.6,2015-12-10 11:45:00
12/10/2015,11:50:00,12/10/2015 11:50,B801,47.9,2015-12-10 11:50:00
12/10/2015,11:55:00,12/10/2015 11:55,B801,46.3,2015-12-10 11:55:00
12/10/2015,12:00:00,12/10/2015 12:00,B801,47.2,2015-12-10 12:00:00
12/10/2015,12:05:00,12/10/2015 12:05,B801,47.3,2015-12-10 12:05:00
12/10/2015,12:10:00,12/10/2015 12:10,B801,48.4,2015-12-10 12:10:00
12/10/2015,12:15:00,12/10/2015 12:15,B801,45.9,2015-12-10 12:15:00
12/10/2015,12:20:00,12/10/2015 12:20,B801,45.2,2015-12-10 12:20:00
12/10/2015,12:25:00,12/10/2015 12:25,B801,46.7,2015-12-10 12:25:00
12/10/2015,12:30:00,12/10/2015 12:30,B801,49.3,2015-12-10 12:30:00
12/10/2015,12:35:00,12/10/2015 12:35,B801,47.2,2015-12-10 12:35:00
12/10/2015,12:40:00,12/10/2015 12:40,B801,46.2,2015-12-10 12:40:00
12/10/2015,12:45:00,12/10/2015 12:45,B801,45.9,2015-12-10 12:45:00
12/10/2015,12:50:00,12/10/2015 12:50,B801,44.4,2015-12-10 12:50:00
12/10/2015,12:55:00,12/10/2015 12:55,B801,45.8,2015-12-10 12:55:00
12/10/2015,13:00:00,12/10/2015 13:00,B801,46.2,2015-12-10 13:00:00
12/10/2015,13:05:00,12/10/2015 13:05,B801,45,2015-12-10 13:05:00
12/10/2015,13:10:00,12/10/2015 13:10,B801,44.8,2015-12-10 13:10:00
12/10/2015,13:15:00,12/10/2015 13:15,B801,44.9,2015-12-10 13:15:00
12/10/2015,13:20:00,12/10/2015 13:20,B801,46.3,2015-12-10 13:20:00
12/10/2015,13:25:00,12/10/2015 13:25,B801,58.6,2015-12-10 13:25:00
12/10/2015,13:30:00,12/10/2015 13:30,B801,57.9,2015-12-10 13:30:00
12/10/2015,13:35:00,12/10/2015 13:35,B801,59,2015-12-10 13:35:00
12/10/2015,13:40:00,12/10/2015 13:40,B801,53.2,2015-12-10 13:40:00
12/10/2015,13:45:00,12/10/2015 13:45,B801,52.8,2015-12-10 13:45:00
12/10/2015,13:50:00,12/10/2015 13:50,B801,53,2015-12-10 13:50:00
12/10/2015,13:55:00,12/10/2015 13:55,B801,52.1,2015-12-10 13:55:00
12/10/2015,14:00:00,12/10/2015 14:00,B801,51.9,2015-12-10 14:00:00
12/10/2015,14:05:00,12/10/2015 14:05,B801,50.7,2015-12-10 14:05:00
12/10/2015,14:10:00,12/10/2015 14:10,B801,51.3,2015-12-10 14:10:00
12/10/2015,14:15:00,12/10/2015 14:15,B801,52.2,2015-12-10 14:15:00
12/10/2015,14:20:00,12/10/2015 14:20,B801,52.4,2015-12-10 14:20:00
12/10/2015,14:25:00,12/10/2015 14:25,B801,51.3,2015-12-10 14:25:00
